Year,Utility ID,Name,Class,Owner,Size of Meter,First of Year,Added During Year,Retired During Year,Adjustments Increase or (Decrease),End of Year,Tested During Year,Residential,Commercial,Industrial,Public Authority,Wholesale Interdepartment or Utility Use,Multifamily Residential,Irrigation,Wholesale,Inter-D or Utility Use,In Stock and Deduct Meters,Total,
2023,2460,Harmony Grove Sanitary District #1,D,Sani,1.000,3,,,-1,2,0,1,,,,,,,,,,2,
2023,2460,Harmony Grove Sanitary District #1,D,Sani,1.500,1,,,,1,0,,1,,,,,,,,,1,
2023,2470,City of Hartford Utilities,AB,Muni,0.625,7043,575,408,236,7446,40,5659,217,42,23,12,56,,,,1430,7446,
2023,2470,City of Hartford Utilities,AB,Muni,1.000,137,10,,-46,101,0,4,43,11,8,,26,,,,9,101,
2023,2470,City of Hartford Utilities,AB,Muni,1.500,111,10,,-27,94,0,3,10,5,12,,42,,,,22,94,
2023,2470,City of Hartford Utilities,AB,Muni,2.000,96,5,,-7,94,1,,22,14,12,,19,,,,27,94,
2023,2470,City of Hartford Utilities,AB,Muni,3.000,67,5,,-33,39,0,,6,11,9,,2,,,,11,39,
2023,2470,City of Hartford Utilities,AB,Muni,4.000,36,5,,-6,35,0,,,12,8,,2,,,,13,35,
2023,2480,Hartland Municipal Water Utility,C,Muni,0.625,2857,,,21,2878,358,2630,143,15,7,,7,,,,76,2878,
2023,2480,Hartland Municipal Water Utility,C,Muni,0.750,127,11,1,-10,127,42,76,19,8,3,,2,,,,19,127,
2023,2480,Hartland Municipal Water Utility,C,Muni,1.000,194,,1,-1,192,27,59,45,30,4,,47,,,,7,192,
2023,2480,Hartland Municipal Water Utility,C,Muni,1.500,82,,,1,83,38,,24,13,3,,32,,,,11,83,
2023,2480,Hartland Municipal Water Utility,C,Muni,2.000,35,,,1,36,15,,13,5,5,,6,,,,7,36,
2023,2480,Hartland Municipal Water Utility,C,Muni,3.000,4,,,,4,4,,1,,3,,,,,,,4,
2023,2480,Hartland Municipal Water Utility,C,Muni,4.000,1,,,,1,1,,,,1,,,,,,,1,
2023,2480,Hartland Municipal Water Utility,C,Muni,6.000,1,,,,1,1,,,1,,,,,,,,1,
2023,2480,Hartland Municipal Water Utility,C,Muni,8.000,4,,,,4,3,,,,,,4,,,,,4,
2023,2483,Village of Hatley Water Utility,D,Muni,0.625,268,25,24,,269,0,232,12,,3,,,,,,22,269,
2023,2483,Village of Hatley Water Utility,D,Muni,1.000,8,,,,8,0,2,,,3,,,,,,3,8,
2023,2483,Village of Hatley Water Utility,D,Muni,1.500,1,,,,1,0,,,,,,,,,,1,1,
2023,2483,Village of Hatley Water Utility,D,Muni,2.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2483,Village of Hatley Water Utility,D,Muni,6.000,1,,,,1,1,,,,,1,,,,,,1,
2023,2485,Village of Haugen Water Utility,D,Muni,0.625,140,,,,140,0,119,8,,2,,,,,,11,140,
2023,2485,Village of Haugen Water Utility,D,Muni,0.750,5,,,,5,0,3,2,,,,,,,,,5,
2023,2485,Village of Haugen Water Utility,D,Muni,1.000,3,,,,3,0,,2,,1,,,,,,,3,
2023,2485,Village of Haugen Water Utility,D,Muni,1.500,1,,,,1,0,,1,,,,,,,,,1,
2023,2485,Village of Haugen Water Utility,D,Muni,2.000,2,,,,2,0,,,,1,,,,,,1,2,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,0.625,207,185,126,-9,257,0,157,18,1,4,,,,,,72,257,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,0.750,6,1,,-6,1,0,1,,,,,,,,,,1,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,1.000,4,,,-2,2,0,,,,2,,,,,,,2,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,1.500,6,,,,6,0,,,3,,,,,,,3,6,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,2.000,1,2,,,3,0,,,,,,1,,,,2,3,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,3.000,2,,,-1,1,0,,,,1,,,,,,,1,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,4.000,1,,,-1,0,0,,,,,,,,,,,0,
2023,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,6.000,1,,,,1,0,,,1,,,,,,,,1,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,0.625,8,,6,,2,0,2,,,,,,,,,,2,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,0.750,1164,32,3,,1193,0,880,209,,11,,5,,,,36,1193,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,1.000,116,,1,,115,0,9,57,3,10,,9,,,1,3,115,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,1.500,39,,,,39,13,,22,,1,,8,,,,2,39,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,2.000,34,,,,34,13,,22,1,7,,2,,,,,34,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,3.000,8,,,,8,3,,2,,4,,,,,,2,8,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,4.000,1,,,,1,0,,1,,,,,,,,,1,
2023,2500,City of Hayward Waterworks And Sewer,C,Muni,6.000,1,,,,1,1,,1,,,,,,,,,1,
2023,2510,Hazel Green Municipal Utility,C,Muni,0.625,531,26,25,,532,0,483,42,1,6,,,,,,,532,
2023,2510,Hazel Green Municipal Utility,C,Muni,1.000,9,,,,9,1,2,6,,1,,,,,,,9,
2023,2510,Hazel Green Municipal Utility,C,Muni,1.500,5,,,,5,0,,2,,3,,,,,,,5,
2023,2510,Hazel Green Municipal Utility,C,Muni,2.000,6,,,,6,0,,4,1,1,,,,,,,6,
2023,2510,Hazel Green Municipal Utility,C,Muni,3.000,2,1,1,,2,0,,,,2,,,,,,,2,
2023,2530,Highland Municipal Water Utility,D,Muni,0.750,416,16,28,,404,0,343,42,,6,,1,,,,12,404,
2023,2530,Highland Municipal Water Utility,D,Muni,1.000,6,,,,6,0,,2,,2,,2,,,,,6,
2023,2530,Highland Municipal Water Utility,D,Muni,2.000,7,1,,,8,0,,1,,3,,1,,,,3,8,
2023,2530,Highland Municipal Water Utility,D,Muni,3.000,2,,,,2,0,,,,1,,,,,,1,2,
2023,2540,Hilbert Municipal Water Utility,D,Muni,0.750,447,36,5,17,495,27,394,30,3,4,2,1,,,,61,495,
2023,2540,Hilbert Municipal Water Utility,D,Muni,1.000,10,,,2,12,1,1,5,,1,,2,,,,3,12,
2023,2540,Hilbert Municipal Water Utility,D,Muni,1.500,5,,,,5,3,,1,,1,,3,,,,,5,
2023,2540,Hilbert Municipal Water Utility,D,Muni,2.000,2,1,,3,6,2,,1,,5,,,,,,,6,
2023,2540,Hilbert Municipal Water Utility,D,Muni,4.000,4,1,,,5,4,,,2,3,,,,,,,5,
2023,2540,Hilbert Municipal Water Utility,D,Muni,6.000,1,,,,1,1,,,,,,1,,,,,1,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,0.625,679,55,81,,653,81,557,67,1,7,,3,,,,18,653,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,1.000,2,,,,2,0,,1,,,,,,,,1,2,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,1.500,8,,,,8,0,,3,,5,,,,,,,8,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,2.000,11,1,,,12,0,,3,,9,,,,,,,12,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,3.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2550,Hillsboro Municipal Water Utility,D,Muni,4.000,2,,,,2,0,,,2,,,,,,,,2,
2023,2570,Hixton Municipal Water Utility,D,Muni,0.750,250,,3,,247,0,163,33,,6,,,,,,45,247,
2023,2570,Hixton Municipal Water Utility,D,Muni,1.000,7,,,,7,0,,5,,1,,,,,,1,7,
2023,2570,Hixton Municipal Water Utility,D,Muni,1.500,1,,,,1,0,,1,,,,,,,,,1,
2023,2570,Hixton Municipal Water Utility,D,Muni,3.000,1,,,,1,0,,,,,,,,,,1,1,
2023,2570,Hixton Municipal Water Utility,D,Muni,4.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2573,Village of Hobart Water Utility,C,Muni,0.750,2032,,5,,2027,67,1890,80,,1,,,,,3,53,2027,
2023,2573,Village of Hobart Water Utility,C,Muni,1.000,85,,,,85,4,60,15,,,,3,,,,7,85,
2023,2573,Village of Hobart Water Utility,C,Muni,1.500,41,3,1,,43,9,1,10,,2,,29,,,,1,43,
2023,2573,Village of Hobart Water Utility,C,Muni,2.000,23,,,,23,10,,9,,,,14,,,,,23,
2023,2573,Village of Hobart Water Utility,C,Muni,3.000,8,,,,8,4,,,,1,,6,,,,1,8,
2023,2573,Village of Hobart Water Utility,C,Muni,4.000,12,,,,12,6,,,,,,12,,,,,12,
2023,2575,Town of Holland Sanitary District #1,D,Sani,0.625,239,24,27,13,249,32,213,5,,,1,,,,,30,249,
2023,2575,Town of Holland Sanitary District #1,D,Sani,0.750,5,,5,,0,0,,,,,,,,,,,0,
2023,2575,Town of Holland Sanitary District #1,D,Sani,1.000,0,,,4,4,1,2,,,,,,,,,2,4,
2023,2575,Town of Holland Sanitary District #1,D,Sani,1.500,2,,,,2,1,,1,,,,,,,,1,2,
2023,2575,Town of Holland Sanitary District #1,D,Sani,2.000,0,,,1,1,0,,,,,1,,,,,,1,
2023,2575,Town of Holland Sanitary District #1,D,Sani,3.000,1,,,,1,0,,,1,,,,,,,,1,
2023,2575,Town of Holland Sanitary District #1,D,Sani,4.000,1,,,-1,0,0,,,,,,,,,,,0,
2023,2580,Hollandale Water Utility,D,Muni,0.625,133,16,6,6,149,0,109,18,,6,,,,,,16,149,
2023,2580,Hollandale Water Utility,D,Muni,1.000,2,,,-2,0,0,,,,,,,,,,,0,
2023,2580,Hollandale Water Utility,D,Muni,1.500,1,,,,1,0,,1,,,,,,,,,1,
2023,2580,Hollandale Water Utility,D,Muni,2.000,2,,,-1,1,0,,,,1,,,,,,,1,
2023,2590,Holmen Municipal Water Utility,C,Muni,0.625,1,,1,,0,0,,,,,,,,,,,0,
2023,2590,Holmen Municipal Water Utility,C,Muni,0.750,3898,212,90,-3,4017,213,3719,127,33,6,,5,,,,82,4017,
2023,2590,Holmen Municipal Water Utility,C,Muni,1.000,205,18,11,-1,211,18,80,46,4,10,,32,,,,12,211,
2023,2590,Holmen Municipal Water Utility,C,Muni,1.500,49,,1,1,49,4,,13,2,7,,9,,,,16,49,
2023,2590,Holmen Municipal Water Utility,C,Muni,2.000,38,4,3,,39,7,,10,2,4,,7,,,,8,39,
2023,2590,Holmen Municipal Water Utility,C,Muni,3.000,21,1,3,,19,5,,1,1,14,,2,,,,1,19,
2023,2590,Holmen Municipal Water Utility,C,Muni,4.000,5,2,1,,6,5,,1,2,1,,1,,,,1,6,
2023,2590,Holmen Municipal Water Utility,C,Muni,6.000,1,,,,1,1,,,,,,1,,,,,1,
2023,2600,City of Horicon Water Utility,C,Muni,0.625,1640,205,17,3,1831,0,1447,78,11,11,,3,,,,263,1831,
2023,2600,City of Horicon Water Utility,C,Muni,1.000,35,3,,,38,0,4,16,4,6,,1,,,,6,38,
2023,2600,City of Horicon Water Utility,C,Muni,1.500,32,,,,32,6,,9,4,5,,14,,,,,32,
2023,2600,City of Horicon Water Utility,C,Muni,2.000,20,,,-1,19,10,,6,4,3,,6,,,,,19,
2023,2600,City of Horicon Water Utility,C,Muni,3.000,4,,,1,5,0,,,1,3,,,,,,,5,
2023,2600,City of Horicon Water Utility,C,Muni,4.000,2,,,,2,0,,,2,,,,,,,,2,
2023,2600,City of Horicon Water Utility,C,Muni,6.000,1,,,,1,0,,,1,,,,,,,,1,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,0.625,1303,2,67,,1238,0,981,69,24,14,,,,,,71,1238,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,1.000,21,,1,,20,0,,12,5,,,,,,,,20,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,1.500,30,,1,,29,0,,4,,3,,16,,,,,29,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,2.000,23,1,2,,22,0,,2,3,5,,5,,,,1,22,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,3.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2610,Village of Hortonville Water and Sewer,C,Muni,4.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,0.750,6516,112,12,,6616,111,6165,391,2,21,,5,,,,32,6616,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,1.000,139,1,,,140,2,18,83,1,3,,24,4,,,7,140,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,1.500,99,29,2,,126,26,,33,,3,,59,,,,31,126,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,2.000,113,43,1,,155,30,,39,,9,,61,,,,46,155,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,3.000,21,8,8,,21,10,,12,,6,,3,,,,,21,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,4.000,9,3,2,,10,9,,4,1,3,,1,,,,1,10,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,6.000,5,3,,,8,5,,,,,,3,,,,5,8,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,8.000,2,,,,2,2,,,,1,,1,,,,,2,
2023,2620,Village of Howard Water and Sewer Department,AB,Muni,10.000,1,,,,1,1,,,,,,1,,,,,1,
2023,2630,Hudson Public Utilities,AB,Muni,0.625,7107,56,13,-4,7146,31,6716,325,10,11,3,4,77,,,,7146,
2023,2630,Hudson Public Utilities,AB,Muni,0.750,1909,72,1,4,1984,9,254,40,1,1,8,7,1673,,,,1984,
2023,2630,Hudson Public Utilities,AB,Muni,1.000,260,6,4,,262,35,6,110,10,8,7,18,103,,,,262,
2023,2630,Hudson Public Utilities,AB,Muni,1.500,197,3,,,200,93,1,72,6,7,3,18,92,,,1,200,
2023,2630,Hudson Public Utilities,AB,Muni,2.000,64,,,,64,30,,26,,6,,19,12,,,1,64,
2023,2630,Hudson Public Utilities,AB,Muni,3.000,31,1,,,32,9,,5,2,7,,9,3,,,6,32,
2023,2630,Hudson Public Utilities,AB,Muni,4.000,2,1,,,3,2,,,,,3,,,,,,3,
2023,2630,Hudson Public Utilities,AB,Muni,6.000,1,,,,1,1,,,,,1,,,,,,1,
2023,2630,Hudson Public Utilities,AB,Muni,8.000,4,,,,4,4,,,,,4,,,,,,4,
2023,2630,Hudson Public Utilities,AB,Muni,10.000,5,3,3,,5,5,,,,,5,,,,,,5,
2023,2630,Hudson Public Utilities,AB,Muni,12.000,2,,,,2,2,,,,,2,,,,,,2,
2023,2630,Hudson Public Utilities,AB,Muni,16.000,1,,,,1,1,,,,,1,,,,,,1,
2023,2640,City of Hurley Water Utility,D,Muni,0.625,1236,11,457,,790,0,629,98,10,6,,15,,,,26,790,
2023,2640,City of Hurley Water Utility,D,Muni,0.750,323,,316,,7,0,2,,,,,,,,,5,7,
2023,2640,City of Hurley Water Utility,D,Muni,1.000,48,,26,,22,0,,5,1,3,,8,,,,5,22,
2023,2640,City of Hurley Water Utility,D,Muni,1.500,23,,10,,13,0,,5,,3,,4,,,,1,13,
2023,2640,City of Hurley Water Utility,D,Muni,2.000,8,,3,,5,0,,2,1,1,,,,,,1,5,
2023,2640,City of Hurley Water Utility,D,Muni,3.000,5,,2,,3,0,,,,2,1,,,,,,3,
2023,2640,City of Hurley Water Utility,D,Muni,4.000,4,,2,,2,0,,1,,1,,,,,,,2,
2023,2650,Hustisford Utilities,AB,Muni,0.625,602,100,,,702,78,416,43,2,3,,3,,,,229,702,
2023,2650,Hustisford Utilities,AB,Muni,0.750,5,,,,5,0,,1,1,,,,,,,3,5,
2023,2650,Hustisford Utilities,AB,Muni,1.000,6,,,,6,0,,3,1,1,,,,,,1,6,
2023,2650,Hustisford Utilities,AB,Muni,1.500,17,,,,17,14,,2,5,1,,7,,,,2,17,
2023,2650,Hustisford Utilities,AB,Muni,2.000,2,,,,2,0,,,,,,1,,,,1,2,
2023,2650,Hustisford Utilities,AB,Muni,3.000,2,,,,2,2,,,,2,,,,,,,2,
2023,2655,Hustler Municipal Water Utility,D,Muni,0.625,95,,48,,47,0,28,7,,2,,,,,,10,47,
2023,2655,Hustler Municipal Water Utility,D,Muni,0.750,4,56,,,60,0,49,1,,,,,,,,10,60,
2023,2655,Hustler Municipal Water Utility,D,Muni,1.000,2,,,,2,0,,1,,,,1,,,,,2,
2023,2655,Hustler Municipal Water Utility,D,Muni,1.500,1,,,,1,0,,,,1,,,,,,,1,
2023,2655,Hustler Municipal Water Utility,D,Muni,2.000,1,,,,1,0,,,,,,,,,,1,1,
2023,2660,Independence Municipal Water Utility,D,Muni,0.625,0,,,1,1,0,1,,,,,,,,,,1,
2023,2660,Independence Municipal Water Utility,D,Muni,0.750,624,,2,-1,621,0,532,60,2,8,,7,,,,12,621,
2023,2660,Independence Municipal Water Utility,D,Muni,1.000,6,,,,6,0,2,2,,1,,1,,,,,6,
2023,2660,Independence Municipal Water Utility,D,Muni,1.250,1,,,,1,0,,1,,,,,,,,,1,
2023,2660,Independence Municipal Water Utility,D,Muni,1.500,8,,,,8,3,,1,,1,,6,,,,,8,
2023,2660,Independence Municipal Water Utility,D,Muni,2.000,4,,,,4,0,,3,,1,,,,,,,4,
2023,2660,Independence Municipal Water Utility,D,Muni,3.000,5,,,,5,1,,1,,3,,,,,,1,5,
2023,2660,Independence Municipal Water Utility,D,Muni,4.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2670,Iola Municipal Water Utility,D,Muni,0.750,461,,,5,466,0,415,43,,6,,2,,,,,466,
2023,2670,Iola Municipal Water Utility,D,Muni,1.000,24,,,,24,0,2,14,,1,,7,,,,,24,
2023,2670,Iola Municipal Water Utility,D,Muni,1.500,11,,,,11,0,1,4,,1,,5,,,,,11,
2023,2670,Iola Municipal Water Utility,D,Muni,2.000,5,1,1,,5,0,,2,,2,,1,,,,,5,
2023,2670,Iola Municipal Water Utility,D,Muni,3.000,4,,1,,3,3,,1,,2,,,,,,,3,
2023,2670,Iola Municipal Water Utility,D,Muni,4.000,1,,,,1,1,,1,,,,,,,,,1,
2023,2670,Iola Municipal Water Utility,D,Muni,6.000,1,1,1,,1,1,,,,1,,,,,,,1,
2023,2680,Town of Knight Municipal Water Utility,D,Muni,0.625,114,6,6,,114,6,106,1,,1,,,,,,6,114,
2023,2680,Town of Knight Municipal Water Utility,D,Muni,0.750,3,,,,3,0,,2,,1,,,,,,,3,
2023,2680,Town of Knight Municipal Water Utility,D,Muni,1.000,1,,,,1,0,,1,,,,,,,,,1,
2023,2680,Town of Knight Municipal Water Utility,D,Muni,1.500,1,,,,1,0,,,,,,1,,,,,1,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,0.625,180,30,12,,198,0,142,7,,2,,,,,,47,198,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,0.750,156,32,13,,175,0,150,6,3,2,,,,,,14,175,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,1.000,15,8,1,,22,0,,3,2,,,,,,,17,22,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,1.500,3,,,,3,0,,,2,1,,,,,,,3,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,2.000,6,,,,6,1,,3,1,2,,,,,,,6,
2023,2690,Iron Ridge Municipal Water Utility,D,Muni,4.000,1,,,,1,1,,1,,,,,,,,,1,
2023,2700,Iron River Sanitary District No 1,D,Sani,0.625,292,5,5,,292,0,261,31,,,,,,,,,292,
2023,2700,Iron River Sanitary District No 1,D,Sani,0.750,29,,,,29,0,,22,,,,7,,,,,29,
2023,2700,Iron River Sanitary District No 1,D,Sani,1.000,10,,,,10,0,,3,2,5,,,,,,,10,
2023,2700,Iron River Sanitary District No 1,D,Sani,1.500,7,,,,7,0,,4,,3,,,,,,,7,
2023,2700,Iron River Sanitary District No 1,D,Sani,2.000,9,,,,9,0,,7,,2,,,,,,,9,
2023,2703,Ironton Water Utility,D,Muni,0.750,95,,0,,95,10,90,5,,,,,,,,,95,
2023,2703,Ironton Water Utility,D,Muni,1.500,1,,0,,1,0,,,,,,1,,,,,1,
2023,2720,Village of Jackson Water Utility,C,Muni,0.625,3384,55,9,70,3500,240,3313,55,20,5,,2,,,,76,3500,
2023,2720,Village of Jackson Water Utility,C,Muni,1.000,58,1,1,11,69,2,5,26,18,1,,19,,,,,69,
2023,2720,Village of Jackson Water Utility,C,Muni,1.500,78,,,5,83,12,,19,6,5,,42,,,,,83,
2023,2720,Village of Jackson Water Utility,C,Muni,2.000,9,,,,9,0,,5,1,1,,2,,,,,9,
2023,2720,Village of Jackson Water Utility,C,Muni,3.000,6,,,,6,4,,3,,2,,1,,,,,6,
2023,2720,Village of Jackson Water Utility,C,Muni,4.000,3,,,,3,0,,1,1,1,,,,,,,3,
2023,2740,Janesville Water Utility,AB,Muni,0.625,14155,690,780,91,14156,191,12645,473,6,16,,105,,,,911,14156,
2023,2740,Janesville Water Utility,AB,Muni,0.750,10468,2968,260,-2700,10476,29,9532,560,8,16,,53,,,,307,10476,
2023,2740,Janesville Water Utility,AB,Muni,1.000,361,36,9,-24,364,4,58,202,8,12,,53,,,,31,364,
2023,2740,Janesville Water Utility,AB,Muni,1.500,297,40,,-23,314,77,8,187,13,17,,62,,,,27,314,
2023,2740,Janesville Water Utility,AB,Muni,2.000,269,50,2,-40,277,58,2,171,15,42,,26,,,,21,277,
2023,2740,Janesville Water Utility,AB,Muni,3.000,105,10,1,-11,103,35,,51,3,23,,8,,,,18,103,
2023,2740,Janesville Water Utility,AB,Muni,4.000,51,24,,-16,59,20,,17,8,23,,2,,,,9,59,
2023,2740,Janesville Water Utility,AB,Muni,6.000,18,12,,-10,20,20,,5,4,3,,4,,,,4,20,
2023,2740,Janesville Water Utility,AB,Muni,8.000,2,,,,2,2,,,,1,,,,,,1,2,
2023,2740,Janesville Water Utility,AB,Muni,10.000,4,,,,4,4,,,3,,,,,,,1,4,
2023,2752,Jefferson Water Utility,C,Muni,0.625,3006,448,450,1,3005,503,2713,211,,17,,,,,,64,3005,
2023,2752,Jefferson Water Utility,C,Muni,1.000,111,11,4,,118,8,9,36,,10,,45,,,,18,118,
2023,2752,Jefferson Water Utility,C,Muni,1.500,30,1,5,,26,7,,11,,9,,2,,,,3,26,
2023,2752,Jefferson Water Utility,C,Muni,2.000,59,5,10,,54,15,,18,,13,1,13,,,,9,54,
2023,2752,Jefferson Water Utility,C,Muni,3.000,4,,1,,3,2,,2,,,1,,,,,,3,
2023,2752,Jefferson Water Utility,C,Muni,4.000,5,,,,5,4,,1,,3,,,,,,1,5,
2023,2752,Jefferson Water Utility,C,Muni,6.000,3,,,,3,1,,,1,,,,,,,2,3,
2023,2752,Jefferson Water Utility,C,Muni,8.000,1,,,,1,0,,,,1,,,,,,,1,
2023,2770,Johnson Creek Water Utility,C,Muni,0.625,1225,32,8,14,1263,0,1027,53,5,10,,3,,,,20,1263,
2023,2770,Johnson Creek Water Utility,C,Muni,1.000,56,,1,-2,53,0,1,16,1,2,,21,,,,1,53,
2023,2770,Johnson Creek Water Utility,C,Muni,1.500,18,,,,18,2,,10,2,1,,2,,,,,18,
2023,2770,Johnson Creek Water Utility,C,Muni,2.000,28,1,1,,28,5,,15,5,3,,1,,,,,28,
2023,2770,Johnson Creek Water Utility,C,Muni,3.000,3,,,,3,0,,1,,2,,,,,,,3,
2023,2770,Johnson Creek Water Utility,C,Muni,4.000,1,,,,1,0,,,,,,1,,,,,1,
2023,2780,Junction City Water Utility,D,Muni,0.750,160,,,,160,0,141,1,,12,,,,,,5,160,
2023,2780,Junction City Water Utility,D,Muni,1.000,21,,,,21,0,1,16,,1,,3,,,,,21,
2023,2780,Junction City Water Utility,D,Muni,1.500,2,,,,2,0,1,1,,,,,,,,,2,
2023,2780,Junction City Water Utility,D,Muni,2.500,2,,,,2,0,,,,,2,,,,,,2,
2023,2780,Junction City Water Utility,D,Muni,3.000,5,,,,5,0,,1,,,4,,,,,,5,
2023,2790,Juneau Utility Commission,C,Muni,0.625,921,52,4,,969,78,770,55,4,11,,3,,,3,102,969,
2023,2790,Juneau Utility Commission,C,Muni,0.750,17,,,,17,0,,6,2,1,,,,,,8,17,
2023,2790,Juneau Utility Commission,C,Muni,1.000,20,1,,,21,0,,8,1,2,,8,,,,2,21,
2023,2790,Juneau Utility Commission,C,Muni,1.500,14,,,,14,0,,5,2,,,3,,,,4,14,
2023,2790,Juneau Utility Commission,C,Muni,2.000,15,2,,,17,0,,3,1,7,,2,,,,3,17,
2023,2790,Juneau Utility Commission,C,Muni,3.000,7,,,,7,2,,,1,4,2,,,,,,7,
2023,2790,Juneau Utility Commission,C,Muni,4.000,1,,,,1,1,,,,1,,,,,,,1,
2023,2790,Juneau Utility Commission,C,Muni,6.000,1,,,,1,1,,,,1,,,,,,,1,
2023,2800,Kaukauna Utilities,AB,Muni,0.750,6861,155,65,,6951,692,6464,280,3,3,,72,,,6,113,6951,
2023,2800,Kaukauna Utilities,AB,Muni,1.000,128,6,0,,134,1,10,80,7,8,,18,,,2,9,134,
2023,2800,Kaukauna Utilities,AB,Muni,1.500,67,3,5,,65,21,,19,4,4,,33,,,2,3,65,
2023,2800,Kaukauna Utilities,AB,Muni,2.000,60,8,7,,61,18,,22,11,8,,10,,,3,7,61,
2023,2800,Kaukauna Utilities,AB,Muni,3.000,20,4,0,,24,6,,10,2,4,,2,,,,6,24,
2023,2800,Kaukauna Utilities,AB,Muni,4.000,9,3,1,,11,6,,2,,4,,,,,1,2,11,
2023,2805,Kellnersville Water Utility,D,Muni,0.750,164,,2,34,196,2,115,6,,2,2,,,,,71,196,
2023,2805,Kellnersville Water Utility,D,Muni,1.000,2,,,1,3,0,1,2,,,,,,,,,3,
2023,2805,Kellnersville Water Utility,D,Muni,1.500,3,,,-1,2,0,,,,,,2,,,,,2,
2023,2805,Kellnersville Water Utility,D,Muni,3.000,1,1,1,,1,1,,1,,,,,,,,,1,
2023,2805,Kellnersville Water Utility,D,Muni,6.000,1,,,-1,0,0,,,,,,,,,,,0,
2023,2810,Kendall Municipal Water Utility,D,Muni,0.625,139,,8,,131,0,131,,,,,,,,,,131,
2023,2810,Kendall Municipal Water Utility,D,Muni,0.750,70,8,,,78,0,50,25,,2,,,,,,1,78,
2023,2810,Kendall Municipal Water Utility,D,Muni,1.000,13,,,,13,0,,5,,8,,,,,,,13,
2023,2810,Kendall Municipal Water Utility,D,Muni,1.500,1,,,,1,0,,,,,,,,,,1,1,
2023,2820,Kenosha Water Utility,AB,Muni,0.625,24627,1933,1417,-14,25129,3362,22966,609,1,11,,238,,,,1244,25129,
2023,2820,Kenosha Water Utility,AB,Muni,0.750,5289,346,134,-33,5468,629,4564,516,9,14,,136,,,,179,5468,
2023,2820,Kenosha Water Utility,AB,Muni,1.000,879,56,37,19,917,106,192,376,17,29,,93,,,,51,917,
2023,2820,Kenosha Water Utility,AB,Muni,1.500,608,,,1,609,148,19,231,13,27,,198,,,,48,609,
2023,2820,Kenosha Water Utility,AB,Muni,2.000,671,,,-4,667,160,7,220,20,48,,266,,,,64,667,
2023,2820,Kenosha Water Utility,AB,Muni,3.000,117,2,,1,120,61,,50,5,28,,26,,,,6,120,
2023,2820,Kenosha Water Utility,AB,Muni,4.000,61,2,,,63,31,,23,6,20,,2,,1,,9,63,
2023,2820,Kenosha Water Utility,AB,Muni,6.000,27,,,,27,23,,6,2,7,,4,,4,,4,27,
2023,2820,Kenosha Water Utility,AB,Muni,8.000,9,,,,9,9,,,,1,,,,8,,,9,
2023,2820,Kenosha Water Utility,AB,Muni,10.000,2,,,,2,2,,,1,,,,,1,,,2,
