Year,Utility ID,Name,Class,Type,Disconnection Notices End Of Q1,Disconnection Notices End Of Q2,Disconnection Notices End Of Q3,Disconnection Notices End Of Q4,Disconnections End Of Q1,Disconnections End Of Q2,Disconnections End Of Q3,Disconnections End Of Q4,Customers with Arrears End Of Q1,Amount of Arrears End of Q1,Customers with Arrears End Of Q2,Amount of Arrears End of Q2,Customers with Arrears End Of Q3,Amount of Arrears End of Q3,Customers with Arrears End of Q4,Amount of Arrears End of Q4,Added to Tax Roll,Amount Added to Tax Rol,
2024,1930,Fall River Municipal Water Utility,D,Water,17,9,12,25,0,0,0,0,221,6655,216,6730,244,6314,231,4679,4,547,
2024,1920,Fall Creek Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,122,10458,127,13523,135,17943,110,6487,29,7484,
2024,1900,Fairwater Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,23,1195,23,2247,25,2949,9,376,8,2064,
2024,1890,Fairchild Municipal Water Utility,D,Water,37,50,39,58,4,4,1,2,14,1093,11,1009,7,559,9,1069,0,0,
2024,1885,Exeland Municipal Water Utility,D,Water,0,0,3,0,0,0,1,0,13,760,19,1315,21,901,32,1879,6,497,
2024,1870,Ettrick Municipal Water And Sewer Utility,D,Water,0,1,1,0,0,1,1,0,58,7860,55,7740,56,7760,60,8006,0,0,
2024,1860,Embarrass Water And Sewer Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,545,0,0,
2024,1810,Elk Mound Municipal Water and Sewer Utility,D,Water,25,22,23,8,0,0,0,0,81,9568,87,9433,70,8518,84,8974,4,535,
2024,1790,Elkhart Lake Water Department,D,Water,0,9,5,0,0,0,0,0,80,2256,72,2327,46,2314,56,2811,5,463,
2024,1780,Eleva Municipal Water Utility,D,Water,32,35,41,42,0,0,0,0,5,32,6,41,17,262,10,89,0,0,
2024,1770,Elcho Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,1750,Edgar Municipal Water Utility,D,Water,57,45,48,44,0,0,1,0,4,103,3,267,2,182,5,55,1,161,
2024,1735,East Troy Sanitary District #3,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,1720,Eastman Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2832,11,2832,
2024,1700,Village of Eagle Municipal Water Utility,D,Water,61,52,59,41,1,0,0,0,1,0,2,245,2,224,2,907,0,0,
2024,1690,Durand Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,148,13796,154,18412,157,20434,162,11763,47,10036,
2024,1685,Drummond Sanitary District 1,D,Water,2,2,2,2,0,0,0,0,0,0,1,30,1,31,4,230,2,799,
2024,1680,Dresser Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,72,8564,64,10993,56,13268,73,5118,25,9550,
2024,1675,Downsville Sanitary District No 1,D,Water,5,2,9,6,0,0,1,0,5,1437,2,584,9,1626,6,1824,0,0,
2024,1670,Dousman Water Utility,D,Water,0,0,0,0,0,0,0,0,130,11713,140,15865,144,19704,154,8418,65,12124,
2024,1660,Village of Dorchester Water Utility,D,Water,23,24,22,24,2,2,3,2,36,9491,16,2456,25,4009,23,3459,2,1212,
2024,1645,Dodge Sanitary District #1,D,Water,0,1,0,0,0,1,0,0,1,2600,1,2600,0,0,0,0,0,0,
2024,1620,Dickeyville Water Utility,D,Water,41,39,24,28,0,1,0,0,58,652,67,689,62,727,66,629,1,563,
2024,1595,Delafield Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,1,552,1,1507,1,1111,4,3437,
2024,1550,Darien Water Works and Sewer System,D,Water,17,15,25,12,5,1,8,0,270,6747,240,8215,562,29970,559,26576,13,2004,
2024,1540,Dane Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,63,5855,52,4559,60,4806,49,5766,14,9341,
2024,1520,Dallas Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,35,1857,37,2871,32,2656,46,828,25,2249,
2024,1505,Curtiss Municipal Water and Sewer Utility,D,Water,0,0,0,51,0,0,0,0,0,0,0,0,0,0,16,2456,6,3747,
2024,1435,Village of Crivitz Water Utility,D,Water,0,0,0,0,0,0,0,0,96,21500,99,24045,106,27491,94,18512,6,2587,
2024,1400,Crandon Water And Sewer Utility,D,Water,126,100,123,110,2,6,3,3,57,7682,60,20708,89,17029,52,5618,3,7120,
2024,1395,Country Estates Sanitary District,D,Water,0,19,16,0,0,0,0,0,17,5213,19,15135,16,22754,9,12886,14,11002,
2024,1360,Coon Valley Municipal Water Utility,D,Water,53,36,44,42,0,1,1,0,1,626,3,812,3,1154,3,512,0,0,
2024,1280,Coloma Municipal Water Utility,D,Water,27,36,0,37,0,0,0,1,27,4703,36,5113,46,5249,37,5043,2,899,
2024,1270,Colfax Municipal Water And Sewer Utility,D,Water,16,11,8,27,0,0,0,0,28,2839,26,2154,29,1358,27,4973,22,5264,
2024,1260,Coleman Water Utility,D,Water,56,43,95,81,0,3,6,0,56,19317,43,13074,95,27459,0,0,0,0,
2024,1250,City of Colby Municipal Water Utility,D,Water,140,103,118,119,4,5,1,5,119,5430,132,8907,137,9027,125,8063,0,0,
2024,1240,Cochrane Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,26,1328,34,3120,35,3647,0,0,19,3127,
2024,1220,Cobb Municipal Water Utility,D,Water,22,17,35,31,0,0,0,0,16,2878,10,6770,5,1563,24,2184,1,413,
2024,1210,Clyman Utility Commission,D,Water,0,0,0,0,0,0,0,0,37,7071,36,9941,37,12939,45,6258,19,11091,
2024,1190,Clinton Municipal Waterworks,D,Water,34,46,41,46,0,0,2,0,217,26202,249,29335,237,27758,254,31461,2,766,
2024,1180,Cleveland Water Utility,D,Water,0,0,26,22,0,0,6,0,73,19482,46,19451,50,13456,93,13425,0,0,
2024,1160,Clear Lake Municipal Water Utility,D,Water,17,0,15,0,0,0,0,0,142,3855,139,4365,161,5656,167,3415,25,3876,
2024,1150,Clayton Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,106,26992,97,33789,115,46997,96,14600,35,30518,
2024,1060,Chaseburg Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,19,8254,15,8539,9,2780,15,4953,5,1147,
2024,1050,Centuria Municipal Water And Sewer Utility,D,Water,25,25,32,0,0,1,7,0,69,10016,15,3519,12,2288,35,4788,0,0,
2024,1010,Cedar Grove Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,59,5026,62,5045,64,5100,67,3769,12,1711,
2024,990,Village of Cazenovia Water Utility,D,Water,0,9,4,6,0,2,1,0,44,8541,52,12365,28,7388,22,2734,9,3140,
2024,980,Cassville Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,36,2157,50,3131,51,4626,50,1976,23,3617,
2024,950,Camp Douglas Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,51,3134,41,4067,52,5337,60,4220,10,1839,
2024,940,Campbellsport Municipal Water Utility,D,Water,25,27,12,0,0,1,0,0,21,2895,16,2045,27,3952,39,4683,8,2828,
2024,930,Village of Cameron Municipal Water Utility,D,Water,119,79,141,0,3,1,12,0,40,4738,5,358,14,1154,33,2816,32,1790,
2024,920,Cambridge Municipal Water Utility,D,Water,51,63,72,66,0,0,0,0,122,20032,153,34391,180,37251,134,28275,41,17494,
2024,910,Cambria Municipal Water Utility,D,Water,36,42,52,55,4,5,4,6,13,1087,11,1246,5,689,6,497,1,151,
2024,870,Butternut Municipal Water Department,D,Water,37,39,42,21,3,3,3,3,39,3021,35,2483,34,2514,34,2678,14,1543,
2024,810,Bruce Municipal Water and Sewer Utility,D,Water,46,41,44,50,6,1,5,4,30,1830,22,1579,41,2702,70,1560,8,845,
2024,800,Browntown Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4902,0,0,
2024,790,Brownsville Water Utility,D,Water,0,0,0,0,0,0,0,0,22,4134,29,8579,11,5793,19,5823,5,3709,
2024,770,Brooklyn Water Utility,D,Water,60,82,80,57,0,0,0,1,38,2393,35,2130,25,1578,33,2208,19,488,
2024,730,Town of Brockway Sanitary District 1,D,Water,0,0,0,89,0,0,0,8,0,0,0,0,0,0,0,0,18,13585,
2024,720,Bristol Water Utility,D,Water,0,0,0,0,0,0,0,0,148,49453,138,78513,153,100902,132,39034,69,67578,
2024,705,Bridgeport Sanitary Dist,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7533,
2024,700,Brandon Sewer and Water Utility,D,Water,30,37,41,34,4,1,0,1,54,7351,56,7130,56,7281,52,9506,18,2387,
2024,690,Boyd Municipal Water And Sewer Utility,D,Water,147,131,156,145,1,1,0,0,25,2940,21,1843,34,1583,43,2960,1,212,
2024,680,Boyceville Municipal Water Utility,D,Water,73,98,88,86,3,1,3,2,13,585,3,601,15,872,17,969,0,0,
2024,670,Bowler Water And Sewer Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,630,Bonduel Water and Sewer Utility,D,Water,57,63,56,62,1,0,0,0,57,8835,63,10299,56,12810,62,8610,4,1194,
2024,627,Bluffview Sanitary District,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,620,Blue River Municipal Water And Sewer Utility,D,Water,0,0,0,117,0,0,0,1,0,0,0,0,0,0,8,1381,1,116,
2024,615,Village of Blue Mounds Municipal Water Utility,D,Water,14,12,16,22,0,0,0,0,23,2665,15,1964,17,2449,24,3631,0,0,
2024,610,Bloomington Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,30,5080,43,7681,21,3227,19,3439,
2024,570,Blanchardville Municipal Water Utility,D,Water,23,0,0,0,0,0,0,0,75,16149,87,20113,71,21626,56,17995,17,8575,
2024,560,Blair Municipal Water Utility,D,Water,175,150,191,184,2,2,5,8,10,1290,8,1201,5,818,13,3204,0,0,
2024,520,Black Creek Municipal Water and Sewer Utility,D,Water,9,0,0,28,0,0,0,1,106,8928,67,2011,113,4530,104,2434,13,6658,
2024,510,Biron Municipal Water Utility,D,Water,0,0,2,0,0,0,1,0,53,2873,67,4025,72,9659,64,5079,8,2318,
2024,500,Birnamwood Municipal Water Utility,D,Water,0,26,0,28,2,0,0,2,37,20654,47,12703,42,6701,56,10734,0,0,
2024,490,Birchwood Municipal Water Utility,D,Water,22,13,30,10,0,0,0,0,22,1424,21,2271,18,1386,35,2540,1,33,
2024,405,Beaver Brook Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,307,
2024,395,Bear Creek Water Utility,D,Water,28,9,17,11,0,0,0,0,30,1808,29,1408,13,760,16,1187,7,1769,
2024,385,Bayfield Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,
2024,381,Village of Bay City Water Utility,D,Water,10,18,16,24,0,0,0,0,51,4185,43,2232,49,2594,72,6362,0,0,
2024,370,Barneveld Municipal Water Utility,D,Water,124,39,148,0,0,0,0,0,25,21442,39,6505,36,21486,0,0,19,3362,
2024,340,Balsam Lake Municipal Water Utility,D,Water,4,78,3,3,0,1,0,0,113,16706,118,22132,190,39424,147,15233,13,6465,
2024,310,Bagley Municipal Water Utility,D,Water,0,22,57,75,0,4,5,6,17,11368,11,2531,11,1627,13,532,9,5477,
2024,280,Avoca Municipal Water Utility,D,Water,46,46,46,46,18,12,15,5,10,0,10,0,10,0,10,10393,8,3568,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Water,70,82,78,86,0,0,0,0,120,20638,127,24975,133,29716,130,15946,57,71959,
2024,260,Athens Municipal Water Utility,D,Water,0,1,0,0,0,0,0,0,36,2159,41,2940,44,3877,40,1721,9,2048,
2024,240,Arlington Water Utility,D,Water,0,0,0,0,0,0,0,0,54,19944,56,17209,60,19861,38,13320,31,14370,
2024,220,Arena Municipal Water Utility,D,Water,28,21,20,18,1,0,1,0,77,1718,92,2109,90,1729,89,1790,1,56,
2024,200,Applewood Hill Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,160,Village of Amherst Water Utility,D,Water,0,0,0,0,0,0,0,0,87,9167,90,11437,97,14223,90,7748,31,12318,
2024,100,Almena Municipal Water Utility,D,Water,10,11,6,9,0,0,0,3,23,1129,20,922,24,1038,20,1218,6,1091,
2024,90,Alma Center Water Utility,D,Water,190,370,557,761,2,0,0,0,2,35,2,54,5,215,11,573,2,645,
2024,80,Alma Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,124,7600,131,9189,179,13644,109,5119,24,3905,
2024,60,Allenton Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,60,22085,60,26478,69,32270,36,6704,33,21000,
2024,40,Albany Municipal Water And Sewer Utility,D,Water,21,8,16,21,0,0,2,0,65,8301,93,7836,67,6912,92,6938,6,1429,
2024,30,Adell Municipal Sewer And Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11871,34,6488,
2024,20,Adams Municipal Water And Sewer Utility,D,Water,23,11,5,15,4,6,1,5,25,10905,67,16049,24,7803,15,3945,13,1570,
2024,10,Abbotsford Municipal Water Utility,D,Water,300,330,337,333,16,19,12,6,110,14725,116,16434,125,24790,94,12332,3,2141,
2023,6700,Wisconsin Rapids Water Works and Lighting Commission,AB,Water,1118,1129,1130,1370,83,91,92,98,756,34162,524,19195,720,33827,1000,56446,72,5177,
2023,6480,Village of Whitefish Bay Water Utility,AB,Water,0,0,0,0,0,0,0,0,826,158691,821,192833,974,240824,1000,91514,239,91407,
2023,6420,Weston Water Utility,AB,Water,0,178,413,0,0,0,0,0,969,81883,1271,91525,1062,95116,772,24541,193,59949,
2023,6380,City of West Bend Water Utility,AB,Water,0,0,0,0,0,0,0,0,5679,523012,5699,548939,5764,641724,5655,514481,741,378823,
2023,6360,West Allis Municipal Water Utility,AB,Water,77,141,199,291,72,97,138,183,4744,391383,4688,515180,4662,626113,3189,251916,2140,638105,
2023,6320,Wauwatosa Water Utility,AB,Water,0,0,0,0,0,0,0,0,1730,289531,1826,367878,1882,454521,1771,246467,1081,307935,
2023,6300,Wausau Water Utility,AB,Water,0,0,0,0,0,0,0,0,3077,237827,2717,302660,2820,384964,2653,231894,1109,247859,
2023,6290,Waupun Public Utilities,AB,Water,887,1489,1559,552,13,1,2,9,0,0,510,26111,563,28425,563,32338,24,1891,
2023,6280,Waupaca Water Utility,AB,Water,87,70,72,90,0,0,5,0,102,7163,91,3574,95,5200,116,9122,46,6914,
2023,6260,Waunakee Water And Light Commission,AB,Water,0,0,0,0,0,0,0,0,239,8148,225,5083,310,7743,268,7352,0,0,
2023,6240,City of Waukesha Water Utility,AB,Water,0,0,0,0,0,0,0,0,1926,667608,2062,1000095,2106,1346459,1913,248853,1265,472397,
2023,6230,Watertown Water Department,AB,Water,0,0,0,28,0,0,0,0,1022,133857,1125,176882,1101,230046,1062,85697,424,134854,
2023,6220,Waterloo Water And Light Commission,AB,Water,0,312,272,0,0,68,23,0,0,0,0,0,0,0,0,0,11,20841,
2023,6100,Verona Water Utility,AB,Water,0,0,0,0,0,0,0,0,223,19261,328,26223,238,33454,195,14002,94,28099,
2023,5990,Two Rivers Water and Light Utility,AB,Water,0,2564,2810,0,0,24,15,0,447,50547,183,13599,161,13042,427,25952,46,17298,
2023,5810,Sun Prairie Utilities,AB,Water,6143,10388,14885,20247,0,211,345,427,1381,642928,1115,230462,1116,433846,1712,685466,11,762,
2023,5780,Sturgeon Bay Utilities,AB,Water,542,0,0,0,13,0,0,0,158,5638,53,1556,62,1958,230,7634,49,3536,
2023,5750,Stoughton Water Utility,AB,Water,452,160,151,375,22,7,5,5,650,20365,570,18960,707,22009,697,22810,21,1658,
2023,5690,Stevens Point Municipal Water Utility,AB,Water,326,296,350,0,5,14,17,0,326,76677,296,57538,350,66708,0,0,227,46672,
2023,5610,Sparta Municipal Water Department,AB,Water,72,76,74,179,25,35,0,0,330,18757,250,10788,238,10620,368,21068,79,7796,
2023,5590,South Milwaukee Water Utility,AB,Water,0,0,0,0,0,0,0,0,1310,270283,1209,338503,1312,436575,690,162885,667,288435,
2023,5380,Sheboygan Falls Utilities,AB,Water,222,146,148,208,0,0,0,0,222,13385,146,862,148,11107,208,936,122,4474,
2023,5370,Sheboygan Water Utility,AB,Water,311,365,405,16,30,49,57,7,1601,73027,1248,65850,1290,73854,1491,66084,1136,97881,
2023,5365,City of Shawano Water and Sewer Utility,AB,Water,668,772,819,878,0,5,4,0,381,13340,483,10861,523,10750,459,12570,35,1410,
2023,5110,River Falls Municipal Utility,AB,Water,1408,0,0,0,0,0,0,0,302,107525,128,175590,292,179901,173,130941,18,2714,
2023,5105,Ripon Water Utility,AB,Water,587,254,286,490,0,0,0,0,11071,100,3566,45,4333,40,5059,77,15,3835,
2023,5050,Rice Lake Municipal Water and Electric Utility,AB,Water,0,2475,2377,792,0,49,22,10,2315,529678,2475,572246,2377,407808,2179,373126,46,6442,
2023,4970,Reedsburg Utility Commission,AB,Water,2586,2503,1769,2947,20,4,0,21,2770,38796,2882,40033,3238,64093,2999,35700,12,1356,
2023,4900,Racine Water Works Commission,AB,Water,0,0,0,0,0,0,0,0,11559,1568262,12286,2147276,12647,2728736,11846,938742,6180,2048694,
2023,4780,Port Washington Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,882,106183,791,118500,581,106035,729,55968,320,91386,
2023,4740,Plymouth Utilities,AB,Water,343,0,0,366,8,0,0,6,139,28407,0,0,0,0,156,12472,0,0,
2023,4737,Village of Plover Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,327,43058,324,47006,312,43733,297,43638,161,77814,
2023,4730,Village of Pleasant Prairie Water Utility,AB,Water,0,0,0,0,0,0,0,0,617,61614,665,77449,686,107213,636,50296,200,54567,
2023,4700,Platteville Water and Sewer Utility,AB,Water,901,843,1131,1176,32,37,27,11,364,28525,498,36351,421,30416,353,26425,54,10797,
2023,4480,City of Oshkosh Water Utility,AB,Water,0,0,0,0,0,0,0,0,5613,1683669,5486,1865816,5583,2385187,5571,1098913,1664,1414381,
2023,4440,Oregon Municipal Water And Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,509,21376,626,28710,613,32899,599,21276,81,10452,
2023,4410,Onalaska Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,600,128554,649,190594,747,251004,575,116456,0,0,
2023,4340,City of Oconomowoc Utilities,AB,Water,0,8,11,4,0,0,0,0,1809,38648,2020,31287,2114,30597,2079,34704,50,1084,
2023,4310,Oak Creek Water and Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,1500,205666,1526,276677,1647,381531,1463,133370,569,202810,
2023,4130,New London Electric and Water Utility,AB,Water,0,0,0,1708,0,0,0,49,0,0,0,0,0,0,0,14450,16,3298,
2023,4090,New Berlin Water Utility,AB,Water,0,0,0,0,0,0,0,0,1161,324236,1274,466133,1268,575293,1195,221987,622,145939,
2023,4030,City of Neenah Water Utility,AB,Water,0,0,0,0,0,0,0,0,704,204521,890,258338,1085,315200,511,148592,820,238055,
2023,3820,Monroe Municipal Water Utility,AB,Water,531,641,661,594,3,8,5,2,13,3231,12,3055,12,3055,11,2879,11,2879,
2023,3720,Milwaukee Water Works,AB,Water,0,0,0,91268,0,0,0,0,35458,5831263,0,0,36498,9098315,28308,4249248,15554,7885015,
2023,3640,Middleton Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,503,92200,419,118291,511,147445,702,118224,133,73810,
2023,3595,Mequon Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,627,70571,594,91251,500,105074,467,81261,66,31844,
2023,3590,City of Menomonie Water Department,AB,Water,711,601,621,0,0,0,13,0,72,13540,61,18554,63,27704,67,14406,39,6567,
2023,3580,Village of Menomonee Falls Water Utility,AB,Water,0,0,0,0,0,0,0,0,2746,531737,2756,655172,2820,989452,2426,453357,629,456991,
2023,3560,Menasha Electric and Water Utilities,AB,Water,4575,4333,4540,4631,95,24,16,81,4575,331625,4333,330990,4540,128121,4631,317647,29,4392,
2023,3550,Fox Crossing Utilities,AB,Water,0,0,0,0,0,0,0,0,500,356927,477,455156,618,548436,846,148826,433,453026,
2023,3420,Marshfield Utilities,AB,Water,2004,1790,1945,2340,0,0,0,0,458,33314,202,11052,235,10300,507,25181,87,6063,
2023,3370,Marinette Municipal Water Utility,AB,Water,0,0,0,1410,0,0,0,141,387,21671,346,17171,397,25353,939,154247,238,45030,
2023,3320,Manitowoc Public Utilities,AB,Water,5746,10996,16175,21207,0,0,1,2,1383,80056,1061,6012,1305,21082,2015,61422,148,16561,
2023,3280,Madison Water Utility,AB,Water,0,0,0,0,0,0,0,0,6192,649852,5546,930486,5395,1258436,4429,302944,3542,1113757,
2023,3160,Lodi Municipal Light And Water Utility,AB,Water,267,268,304,262,0,0,0,0,131,6319,170,7223,243,11617,233,10366,1,104,
2023,3140,Little Chute Municipal Water Department,AB,Water,0,0,0,0,0,0,0,0,387,20767,395,22525,316,24002,412,12259,125,17572,
2023,3000,Lake Mills Light And Water Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,16229,2,247,
2023,2980,Lake Geneva Utility Commission,AB,Water,329,657,996,1256,22,45,71,90,173,4876,264,5977,243,7990,203,6523,8,1234,
2023,2920,La Crosse Water Utility,AB,Water,0,0,0,0,0,0,0,0,2702,488772,2601,552064,2561,671655,2633,294866,1207,227938,
2023,2820,Kenosha Water Utility,AB,Water,0,0,0,0,0,0,0,0,6740,657818,6694,815033,6896,1011804,7184,472136,2830,669615,
2023,2800,Kaukauna Utilities,AB,Water,0,0,0,0,0,0,0,0,1018,87125,1028,54317,1096,49673,1162,78417,98,10225,
2023,2740,Janesville Water Utility,AB,Water,0,0,0,0,0,0,0,0,2052,584295,2053,810097,1977,1129007,2056,380948,2690,2805232,
2023,2650,Hustisford Utilities,AB,Water,0,62,106,129,0,0,0,0,17,2869,14,1560,18,1395,21,2339,8,845,
2023,2630,Hudson Public Utilities,AB,Water,0,0,0,0,0,0,0,0,904,230806,931,292657,844,353426,892,166419,500,255413,
2023,2620,Village of Howard Water and Sewer Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,62627,367,134067,
2023,2470,City of Hartford Utilities,AB,Water,0,693,564,230,0,0,0,0,962,38080,1450,18976,954,31483,1491,36032,9,2544,
2023,2360,Village of Greendale Water Utility,AB,Water,0,0,0,0,0,0,0,0,819,181477,971,195711,913,198167,883,203570,271,188431,
2023,2350,Green Bay Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,2310,Town of Grand Chute Sanitary District 1,AB,Water,0,0,0,0,0,0,0,0,1126,189991,1106,184010,1097,215492,1063,126814,186,44820,
2023,2300,Grafton Water and Wastewater Utility,AB,Water,0,0,0,0,0,0,0,0,408,127296,375,156346,416,198959,438,107857,141,125448,
2023,2260,Glendale Water Utility,AB,Water,0,0,0,0,0,0,0,0,853,109728,894,140024,1025,205277,550,42028,287,166295,
2023,2210,Germantown Water Utility,AB,Water,0,0,0,0,0,0,0,0,1163,412674,0,0,0,0,329,152155,329,152115,
2023,2105,Franklin Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76270,0,139596,
2023,2060,City of Fort Atkinson Water Utility,AB,Water,0,0,344,466,0,0,15,18,205,8425,180,10234,243,12483,140,2483,146,46658,
2023,2010,Fond Du Lac Water Utility,AB,Water,0,0,0,0,0,0,0,0,584,209336,689,256930,522,304524,770,208448,1196,414252,
2023,2000,Florence Utility Commission,AB,Water,0,0,0,32,0,0,0,1,0,0,0,0,0,0,47,3786,4,677,
2023,1990,Fitchburg Water Utility,AB,Water,0,4,21,0,0,3,0,0,178,16465,151,13678,191,34933,111,10071,110,15069,
2023,1800,Elkhorn Light And Water,AB,Water,416,834,1069,0,0,0,0,0,474,52827,423,24664,482,27897,510,43181,12,3547,
2023,1740,Eau Claire Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,3380,361320,3623,466270,3574,570161,3529,270423,1636,413311,
2023,1710,Eagle River Light And Water Commission,AB,Water,118,160,214,214,0,0,0,0,76,6332,57,4735,42,3010,34,2843,8,1567,
2023,1610,De Pere Water Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,1545,Darboy Joint Sanitary District No 1,AB,Water,163,163,169,145,4,3,4,2,148,9096,167,11497,145,11626,143,9584,4,187,
2023,1480,City of Cudahy Water Utility,AB,Water,0,0,0,0,0,0,0,0,1016,45810,1223,37891,915,11480,1011,38342,520,155378,
2023,1300,Columbus Water And Light Department,AB,Water,116,111,115,90,8,0,0,0,231,16233,249,15742,294,17905,212,16060,34,5081,
2023,1120,Chippewa Falls Department of Public Utilities,AB,Water,0,0,0,0,0,0,0,0,691,63991,632,71837,638,81624,486,29232,421,79196,
2023,1000,Cedarburg Light And Water Commission,AB,Water,0,261,252,338,0,0,0,0,367,70470,415,57276,442,109289,317,58518,7,1566,
2023,900,Village of Caledonia Water Utility,AB,Water,0,0,0,0,0,0,0,0,6408,686974,6403,778167,6844,1019813,6873,631405,827,249266,
2023,780,Brown Deer Water Public Utility,AB,Water,0,0,0,0,0,0,0,0,1121,157056,1116,170627,1064,223642,1012,93935,535,171481,
2023,760,Brookfield Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,1350,268963,1532,391513,1645,494515,1442,226668,557,393013,
2023,550,Black River Falls Municipal Electric and Water,AB,Water,0,1229,1532,612,0,0,1,0,542,157493,627,84298,714,134001,578,111559,11,1980,
2023,455,Beloit Water Utility,AB,Water,0,0,0,0,0,0,0,0,4671,451349,4815,492057,5263,619808,5890,771535,1854,294828,
2023,430,Bellevue Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,42946,
2023,400,Beaver Dam Water Utility,AB,Water,0,0,0,0,0,0,0,0,1400,153337,1423,184952,1500,230273,1356,102172,582,141504,
2023,360,City of Baraboo Water Utility,AB,Water,337,334,308,350,31,22,21,29,134,3123,156,4252,165,4693,162,3347,24,3376,
2023,255,Ashwaubenon Water And Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,122520,220,122520,
2023,250,Ashland Water Utility,AB,Water,0,60,120,180,0,15,26,27,357,104227,250,57791,331,83311,256,43279,158,25007,
2023,190,Appleton Water Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410692,1723,453001,
2023,180,Antigo Utilities,AB,Water,0,349,261,0,0,37,25,0,402,64638,335,30300,421,41010,514,44343,317,43077,
2023,70,Village of Allouez Water Department,AB,Water,0,0,0,0,0,0,0,0,0,63052,0,82613,0,109378,0,42973,213,63796,
2023,50,Algoma Utility Commission,AB,Water,310,3,4,259,3,2,1,3,22,1080,14,853,13,1061,31,1715,1,345,
2023,6800,Village of Wrightstown Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,6760,Wonewoc Electric and Water Utility,C,Water,200,200,210,215,0,20,5,0,0,0,0,0,0,0,60,12650,3,201,
2023,6620,Wisconsin Dells Municipal Water Utility,C,Water,0,0,0,2,0,0,0,2,253,0,238,0,224,0,259,0,11,825,
2023,6580,Winneconne Water Utility,C,Water,0,0,0,0,0,0,0,0,180,64670,214,96014,211,119469,167,67448,89,58627,
2023,6572,Windsor Water Utility,C,Water,0,35,0,0,0,0,0,0,185,73684,96,48226,103,49891,269,93598,60,25776,
2023,6540,Williams Bay Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,227,19039,233,25230,229,38454,233,5885,38,25912,
